"","RTIID","GID","JURISID","COUNTY","NAME","YEAR","CITY","STATE","ZIP","STATEFIPS","CNTYCODE","STRATUM","FINALWT","DESIGNWT","CLASS","STATUS","CONFPOPJUNE","CONFPOPJUNE_FLAG","CONFPOP","CONFPOP_FLAG","NCONPOP","NCONPOP_FLAG","TOTPOP","TOTPOP_FLAG","WEEK","WEEK_FLAG","WEEKN","WEEKN_FLAG","NONCITZ","NONCITZ_FLAG","ADULTM","ADULTM_FLAG","ADULTF","ADULTF_FLAG","JUVM","JUVM_FLAG","JUVF","JUVF_FLAG","TOTGENDER","TOTGENDER_FLAG","ADLTJUV","ADLTJUV_FLAG","CONV","CONV_FLAG","UNCONV","UNCONV_FLAG","TOTCONVSTATUS","TOTCONVSTATUS_FLAG","FELONY","FELONY_FLAG","MISD","MISD_FLAG","OTHEROFFSPEC","OTHEROFF","OTHEROFF_FLAG","TOTOFF","TOTOFF_FLAG","WHITE","WHITE_FLAG","BLACK","BLACK_FLAG","HISP","HISP_FLAG","AIAN","AIAN_FLAG","ASIAN","ASIAN_FLAG","NHOPI","NHOPI_FLAG","TWORACE","TWORACE_FLAG","OTHERRACESPEC","OTHERRACE","OTHERRACE_FLAG","RACEDK","RACEDK_FLAG","RACETOTAL","RACETOTAL_FLAG","MARSHALS","MARSHALS_FLAG","BOP","BOP_FLAG","ICE","ICE_FLAG","BIA","BIA_FLAG","OTHERFEDSPEC","OTHERFED","OTHERFED_FLAG","INSTATEPRIS","INSTATEPRIS_FLAG","OUTSTATEPRIS","OUTSTATEPRIS_FLAG","TRIBAL","TRIBAL_FLAG","INSTATEJAIL","INSTATEJAIL_FLAG","OUTSTATEJAIL","OUTSTATEJAIL_FLAG","OTHERHOLDTOT","OTHERHOLDTOT_FLAG","PEAKDATE","PEAKPOP","PEAKPOP_FLAG","ADPM","ADPM_FLAG","ADPF","ADPF_FLAG","ADP","ADP_FLAG","RATED","RATED_FLAG","ADMISM","ADMISM_FLAG","ADMISF","ADMISF_FLAG","ADMIS","ADMIS_FLAG","RELEASEM","RELEASEM_FLAG","RELEASEF","RELEASEF_FLAG","RELEASE","RELEASE_FLAG","EMONITOR","EMONITOR_FLAG","HOMEDETN","HOMEDETN_FLAG","COMMSRV","COMMSRV_FLAG","DAYREPORT","DAYREPORT_FLAG","PRETRIAL","PRETRIAL_FLAG","ALTWORK","ALTWORK_FLAG","TREATMENT","TREATMENT_FLAG","OTRNONCONFSPEC","OTRNONCONF","OTRNONCONF_FLAG","NONCONFD","NONCONFD_FLAG","CORRSTAFF","CORRSTAFF_FLAG","CORRSTAFFM","CORRSTAFFM_FLAG","CORRSTAFFF","CORRSTAFFF_FLAG","OTHERSTAFF","OTHERSTAFF_FLAG","OTHERSTAFFM","OTHERSTAFFM_FLAG","OTHERSTAFFF","OTHERSTAFFF_FLAG","TOTALSTAFF","TOTALSTAFF_FLAG"
"1",10956003,"011002002061000000000","011002002","BALDWIN COUNTY                                                              ","BALDWIN COUNTY SHERIFF'S OFFICE                                                                     ",2016,"BAY MINETTE             ","(01) AL","36507     ","01","01003","(01) 1: certainty jails: large jails and california jails",1.05357143,1,8,"(1) Respondent",535,"(1) Estimated by respondent",466,"(1) Estimated by respondent",0,"(0) Reported",466,"(1) Estimated by respondent","(0) No","(0) Reported",NA,NA,10,"(1) Estimated by respondent",382,"(1) Estimated by respondent",80,"(1) Estimated by respondent",4,"(1) Estimated by respondent",0,"(1) Estimated by respondent",466,"(1) Estimated by respondent",4,"(1) Estimated by respondent",405,"(1) Estimated by respondent",61,"(1) Estimated by respondent",466,"(1) Estimated by respondent",252,"(1) Estimated by respondent",149,"(1) Estimated by respondent","Other                                             ",65,"(1) Estimated by respondent",466,"(1) Estimated by respondent",311,"(1) Estimated by respondent",133,"(1) Estimated by respondent",20,"(1) Estimated by respondent",0,"(0) Reported",2,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported","                                   ",0,"(0) Reported",0,"(0) Reported",466,"(1) Estimated by respondent",33,"(1) Estimated by respondent",14,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent","                                 ",0,"(1) Estimated by respondent",50,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",2,"(1) Estimated by respondent",0,"(1) Estimated by respondent",99,"(1) Estimated by respondent",1,509,"(1) Estimated by respondent",448,"(1) Estimated by respondent",90,"(1) Estimated by respondent",538,"(1) Estimated by respondent",651,"(0) Reported",6060,"(1) Estimated by respondent",2041,"(1) Estimated by respondent",8101,"(1) Estimated by respondent",5950,"(1) Estimated by respondent",2021,"(1) Estimated by respondent",7971,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                ",0,"(0) Reported",0,"(0) Reported",91,"(1) Estimated by respondent",60,"(1) Estimated by respondent",31,"(1) Estimated by respondent",18,"(1) Estimated by respondent",3,"(1) Estimated by respondent",15,"(1) Estimated by respondent",109,"(1) Estimated by respondent"
"2",10956005,"011004004061000000000","011004004","BIBB COUNTY                                                                 ","BIBB COUNTY SHERIFFS DEPARTMENT                                                                     ",2016,"BRENT                   ","(01) AL","35034     ","01","01007","(09) 9: 40 =< adp < 103 & juv = 0",9.29508197,9,19,"(1) Respondent",69,"(1) Estimated by respondent",69,"(1) Estimated by respondent",0,"(0) Reported",69,"(0) Reported","(0) No","(0) Reported",NA,NA,0,"(0) Reported",61,"(1) Estimated by respondent",8,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",69,"(1) Estimated by respondent",0,"(0) Reported",14,"(1) Estimated by respondent",55,"(1) Estimated by respondent",69,"(1) Estimated by respondent",30,"(1) Estimated by respondent",39,"(1) Estimated by respondent","                                                  ",0,"(0) Reported",69,"(1) Estimated by respondent",52,"(1) Estimated by respondent",13,"(1) Estimated by respondent",4,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                   ",0,"(0) Reported",0,"(0) Reported",69,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                 ",0,"(0) Reported",1,"(0) Reported",0,"(0) Reported",0,"(0) Reported",3,"(1) Estimated by respondent",0,"(1) Estimated by respondent",4,"(1) Estimated by respondent",31,69,"(1) Estimated by respondent",67,"(2) Adjusted for consistency ",7,"(2) Adjusted for consistency ",74,"(2) Adjusted for consistency ",82,"(1) Estimated by respondent",2042,"(1) Estimated by respondent",449,"(1) Estimated by respondent",2491,"(1) Estimated by respondent",1287,"(1) Estimated by respondent",120,"(1) Estimated by respondent",1407,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                ",0,"(0) Reported",0,"(0) Reported",15,"(1) Estimated by respondent",10,"(1) Estimated by respondent",5,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",15,"(1) Estimated by respondent"
"3",10956016,"011015015061000000000","011015015","CLEBURNE COUNTY                                                             ","CLEBURNE COUNTY SHERIFFS OFFICE                                                                     ",2016,"HEFLIN                  ","(01) AL","36264     ","01","01029","(09) 9: 40 =< adp < 103 & juv = 0",9.29508197,9,19,"(1) Respondent",79,"(0) Reported",50,"(0) Reported",0,"(0) Reported",50,"(0) Reported","(0) No","(0) Reported",NA,NA,2,"(1) Estimated by respondent",41,"(0) Reported",9,"(0) Reported",0,"(0) Reported",0,"(0) Reported",50,"(0) Reported",0,"(0) Reported",10,"(1) Estimated by respondent",40,"(1) Estimated by respondent",50,"(0) Reported",40,"(1) Estimated by respondent",10,"(1) Estimated by respondent","                                                  ",0,"(0) Reported",50,"(0) Reported",41,"(1) Estimated by respondent",7,"(0) Reported",2,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                   ",0,"(0) Reported",0,"(0) Reported",50,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                 ",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",4,65,"(0) Reported",50,"(1) Estimated by respondent",8,"(1) Estimated by respondent",58,"(1) Estimated by respondent",90,"(0) Reported",567,"(0) Reported",227,"(0) Reported",794,"(0) Reported",574,"(0) Reported",227,"(0) Reported",801,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                ",0,"(0) Reported",0,"(0) Reported",14,"(0) Reported",9,"(0) Reported",5,"(0) Reported",1,"(0) Reported",1,"(0) Reported",0,"(0) Reported",15,"(0) Reported"
"4",10956023,"011022022061000000000","011022022","CULLMAN COUNTY                                                              ","CULLMAN COUNTY SHERIFFS OFFICE                                                                      ",2016,"CULLMAN                 ","(01) AL","35055     ","01","01043","(07) 7: 227 =< adp < 750 & juv = 0",1.30404508,1.27884614,17,"(1) Respondent",324,"(0) Reported",307,"(0) Reported",0,"(0) Reported",307,"(0) Reported","(1) Yes","(0) Reported",5,"(1) Estimated by respondent",25,"(1) Estimated by respondent",246,"(1) Estimated by respondent",61,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",307,"(0) Reported",0,"(0) Reported",51,"(0) Reported",256,"(0) Reported",307,"(0) Reported",264,"(1) Estimated by respondent",43,"(1) Estimated by respondent","                                                  ",0,"(0) Reported",307,"(0) Reported",252,"(1) Estimated by respondent",30,"(1) Estimated by respondent",25,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                   ",0,"(0) Reported",0,"(0) Reported",307,"(0) Reported",27,"(0) Reported",11,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                 ",0,"(0) Reported",51,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",89,"(0) Reported",13,324,"(0) Reported",252,"(1) Estimated by respondent",63,"(1) Estimated by respondent",315,"(0) Reported",326,"(0) Reported",3679,"(1) Estimated by respondent",920,"(1) Estimated by respondent",4599,"(0) Reported",3694,"(1) Estimated by respondent",924,"(1) Estimated by respondent",4618,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                ",0,"(0) Reported",0,"(0) Reported",26,"(1) Estimated by respondent",18,"(1) Estimated by respondent",8,"(1) Estimated by respondent",18,"(1) Estimated by respondent",6,"(1) Estimated by respondent",12,"(1) Estimated by respondent",44,"(1) Estimated by respondent"
"5",10956029,"011028028061000000000","011028028","ETOWAH COUNTY                                                               ","ETOWAH COUNTY SHERIFFS OFFICE                                                                       ",2016,"GADSDEN                 ","(01) AL","35901     ","01","01055","(01) 1: certainty jails: large jails and california jails",1.05357143,1,8,"(1) Respondent",753,"(0) Reported",686,"(1) Estimated by respondent",0,"(1) Estimated by respondent",686,"(1) Estimated by respondent","(1) Yes","(0) Reported",0,"(1) Estimated by respondent",294,"(1) Estimated by respondent",598,"(1) Estimated by respondent",88,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",686,"(1) Estimated by respondent",0,"(0) Reported",508,"(3) Item imputed",178,"(3) Item imputed",686,"(1) Estimated by respondent",223,"(1) Estimated by respondent",169,"(1) Estimated by respondent","Hold for ICE                                      ",294,"(1) Estimated by respondent",686,"(1) Estimated by respondent",273,"(1) Estimated by respondent",197,"(1) Estimated by respondent",95,"(1) Estimated by respondent",0,"(1) Estimated by respondent",15,"(1) Estimated by respondent",0,"(1) Estimated by respondent",53,"(1) Estimated by respondent","                                   ",0,"(1) Estimated by respondent",53,"(1) Estimated by respondent",686,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",294,"(1) Estimated by respondent",0,"(1) Estimated by respondent","                                 ",0,"(1) Estimated by respondent",25,"(1) Estimated by respondent",2,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",321,"(1) Estimated by respondent",8,732,"(1) Estimated by respondent",616,"(1) Estimated by respondent",94,"(1) Estimated by respondent",710,"(1) Estimated by respondent",856,"(1) Estimated by respondent",5501,"(3) Item imputed",809,"(3) Item imputed",6310,"(1) Estimated by respondent",5470,"(3) Item imputed",805,"(3) Item imputed",6275,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                ",0,"(0) Reported",0,"(1) Estimated by respondent",62,"(1) Estimated by respondent",51,"(1) Estimated by respondent",11,"(1) Estimated by respondent",23,"(1) Estimated by respondent",15,"(1) Estimated by respondent",8,"(1) Estimated by respondent",85,"(1) Estimated by respondent"
"6",10956030,"011029029061000000000","011029029","FAYETTE COUNTY                                                              ","FAYETTE COUNTY SHERIFFS OFFICE                                                                      ",2016,"FAYETTE                 ","(01) AL","35555     ","01","01057","(09) 9: 40 =< adp < 103 & juv = 0",9.29508197,9,19,"(1) Respondent",55,"(0) Reported",72,"(0) Reported",0,"(0) Reported",72,"(0) Reported","(0) No","(0) Reported",NA,NA,0,"(0) Reported",49,"(0) Reported",23,"(0) Reported",0,"(0) Reported",0,"(0) Reported",72,"(0) Reported",0,"(0) Reported",7,"(0) Reported",65,"(0) Reported",72,"(0) Reported",50,"(1) Estimated by respondent",22,"(1) Estimated by respondent","                                                  ",0,"(0) Reported",72,"(0) Reported",42,"(1) Estimated by respondent",29,"(1) Estimated by respondent",1,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                   ",0,"(0) Reported",0,"(0) Reported",72,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                 ",0,"(0) Reported",5,"(0) Reported",1,"(0) Reported",0,"(0) Reported",1,"(0) Reported",0,"(0) Reported",7,"(0) Reported",13,75,"(0) Reported",45,"(0) Reported",15,"(0) Reported",60,"(0) Reported",68,"(0) Reported",600,"(1) Estimated by respondent",250,"(1) Estimated by respondent",850,"(1) Estimated by respondent",545,"(1) Estimated by respondent",230,"(1) Estimated by respondent",775,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                ",0,"(0) Reported",0,"(0) Reported",11,"(0) Reported",6,"(0) Reported",5,"(0) Reported",1,"(0) Reported",1,"(0) Reported",0,"(0) Reported",12,"(0) Reported"
"7",10956036,"011035035061000000000","011035035","DALE COUNTY, HENRY COUNTY, HOUSTON COUNTY                                   ","HOUSTON COUNTY SHERIFFS OFFICE                                                                      ",2016,"DOTHAN                  ","(01) AL","36303     ","01","01069","(07) 7: 227 =< adp < 750 & juv = 0",1.30404508,1.27884614,17,"(1) Respondent",261,"(0) Reported",253,"(0) Reported",0,"(0) Reported",253,"(0) Reported","(1) Yes","(0) Reported",0,"(0) Reported",0,"(1) Estimated by respondent",216,"(0) Reported",34,"(0) Reported",3,"(0) Reported",0,"(0) Reported",253,"(0) Reported",3,"(0) Reported",230,"(1) Estimated by respondent",23,"(1) Estimated by respondent",253,"(0) Reported",200,"(1) Estimated by respondent",53,"(1) Estimated by respondent","                                                  ",0,"(0) Reported",253,"(0) Reported",109,"(0) Reported",140,"(0) Reported",4,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                   ",0,"(0) Reported",0,"(0) Reported",253,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                 ",0,"(0) Reported",15,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",15,"(0) Reported",2,279,"(0) Reported",250,"(1) Estimated by respondent",35,"(1) Estimated by respondent",285,"(0) Reported",396,"(0) Reported",3852,"(1) Estimated by respondent",963,"(0) Reported",4815,"(1) Estimated by respondent",3576,"(1) Estimated by respondent",894,"(1) Estimated by respondent",4470,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                ",0,"(0) Reported",0,"(0) Reported",63,"(0) Reported",40,"(0) Reported",23,"(0) Reported",8,"(0) Reported",1,"(0) Reported",7,"(0) Reported",71,"(0) Reported"
"8",10950037,"011037037060000000100","011037037","JEFFERSON COUNTY, SHELBY COUNTY                                             ","JEFFERSON COUNTY SHERIFF'S OFFICE                                                                   ",2016,"BIRMINGHAM              ","(01) AL","35203     ","01","01073","(01) 1: certainty jails: large jails and california jails",1.0546875,1,7,"(1) Respondent",1084,"(1) Estimated by respondent",1030,"(1) Estimated by respondent",0,"(0) Reported",1030,"(1) Estimated by respondent","(1) Yes","(0) Reported",2,"(1) Estimated by respondent",50,"(1) Estimated by respondent",900,"(1) Estimated by respondent",110,"(1) Estimated by respondent",20,"(1) Estimated by respondent",0,"(1) Estimated by respondent",1030,"(1) Estimated by respondent",20,"(1) Estimated by respondent",200,"(1) Estimated by respondent",830,"(1) Estimated by respondent",1030,"(1) Estimated by respondent",980,"(1) Estimated by respondent",50,"(1) Estimated by respondent","                                                  ",0,"(0) Reported",1030,"(1) Estimated by respondent",300,"(1) Estimated by respondent",730,"(1) Estimated by respondent",0,"(0) Reported",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent","                                   ",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",1030,"(1) Estimated by respondent",10,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent","                                 ",0,"(1) Estimated by respondent",200,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",210,"(1) Estimated by respondent",7,1030,"(1) Estimated by respondent",860,"(1) Estimated by respondent",150,"(1) Estimated by respondent",1010,"(1) Estimated by respondent",1069,"(0) Reported",11417,"(1) Estimated by respondent",3525,"(1) Estimated by respondent",14942,"(1) Estimated by respondent",11364,"(1) Estimated by respondent",3495,"(1) Estimated by respondent",14859,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                ",0,"(0) Reported",0,"(0) Reported",159,"(1) Estimated by respondent",123,"(1) Estimated by respondent",36,"(1) Estimated by respondent",61,"(1) Estimated by respondent",16,"(1) Estimated by respondent",45,"(1) Estimated by respondent",220,"(1) Estimated by respondent"
"9",10956040,"011040040061000000000","011040040","LAWRENCE COUNTY                                                             ","LAWRENCE COUNTY SHERIFFS OFFICE                                                                     ",2016,"MOULTON                 ","(01) AL","35650     ","01","01079","(08) 8: 103 =< adp < 227 & juv = 0",5.15508193,4.90361452,18,"(1) Respondent",150,"(1) Estimated by respondent",135,"(1) Estimated by respondent",20,"(1) Estimated by respondent",155,"(1) Estimated by respondent","(1) Yes","(0) Reported",5,"(1) Estimated by respondent",0,"(0) Reported",110,"(1) Estimated by respondent",25,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",135,"(1) Estimated by respondent",0,"(0) Reported",25,"(1) Estimated by respondent",110,"(1) Estimated by respondent",135,"(1) Estimated by respondent",75,"(1) Estimated by respondent",50,"(1) Estimated by respondent","house for other agency                            ",10,"(1) Estimated by respondent",135,"(1) Estimated by respondent",105,"(1) Estimated by respondent",25,"(1) Estimated by respondent",5,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent","                                   ",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",135,"(1) Estimated by respondent",0,"(1) Estimated by respondent",1,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent","                                 ",0,"(1) Estimated by respondent",1,"(0) Reported",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",8,"(1) Estimated by respondent",0,"(1) Estimated by respondent",10,"(1) Estimated by respondent",16,135,"(1) Estimated by respondent",100,"(1) Estimated by respondent",25,"(1) Estimated by respondent",125,"(1) Estimated by respondent",125,"(1) Estimated by respondent",1000,"(1) Estimated by respondent",696,"(1) Estimated by respondent",1696,"(0) Reported",1000,"(1) Estimated by respondent",677,"(1) Estimated by respondent",1677,"(0) Reported",5,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",10,"(1) Estimated by respondent",0,"(1) Estimated by respondent",5,"(1) Estimated by respondent","                                                ",0,"(1) Estimated by respondent",20,"(1) Estimated by respondent",8,"(0) Reported",6,"(0) Reported",2,"(0) Reported",4,"(0) Reported",4,"(0) Reported",0,"(0) Reported",12,"(0) Reported"
"10",10956041,"011041041061000000000","011041041","LEE COUNTY                                                                  ","LEE COUNTY SHERIFFS OFFICE                                                                          ",2016,"OPELIKA                 ","(01) AL","36801     ","01","01081","(07) 7: 227 =< adp < 750 & juv = 0",1.30404508,1.27884614,17,"(1) Respondent",347,"(0) Reported",340,"(0) Reported",0,"(0) Reported",340,"(0) Reported","(1) Yes","(0) Reported",7,"(0) Reported",13,"(0) Reported",293,"(0) Reported",46,"(0) Reported",1,"(0) Reported",0,"(0) Reported",340,"(0) Reported",1,"(0) Reported",89,"(0) Reported",251,"(0) Reported",340,"(0) Reported",193,"(0) Reported",104,"(0) Reported","UNKNOWN/FEDERAL                                   ",43,"(0) Reported",340,"(0) Reported",143,"(0) Reported",186,"(0) Reported",11,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                   ",0,"(0) Reported",0,"(0) Reported",340,"(0) Reported",14,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                 ",0,"(0) Reported",9,"(0) Reported",0,"(0) Reported",0,"(0) Reported",35,"(0) Reported",0,"(0) Reported",58,"(0) Reported",13,350,"(0) Reported",305,"(0) Reported",56,"(0) Reported",361,"(0) Reported",424,"(0) Reported",5458,"(0) Reported",1809,"(0) Reported",7267,"(0) Reported",5488,"(0) Reported",1814,"(0) Reported",7302,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                ",0,"(0) Reported",0,"(0) Reported",54,"(0) Reported",37,"(0) Reported",17,"(0) Reported",15,"(0) Reported",5,"(0) Reported",10,"(0) Reported",69,"(0) Reported"
