,level_0,COUNTY,YEAR,STATEABBR,STATEID,REGION,JUVF,JUVM,BLACK,BLACKM,BLACKF,HISP,HISPM,HISPF,WHITE,WHITEM,WHITEF,ASIAN,ASIANM,ASIANF,AIAN,AIANM,AIANF,NHOPI,NHPIM,NHPIF,OTHERRACE,ADDRACEM,ADDRACEF,TWORACE,TWORACEM,TWORACEF,RACEDK,UNKRACEM,UNKRACEF,NONCITZ,CUSCTZNM,CUSCTZNF,ADMIS,ADTOTM,ADTOTF,CONFPOP,CUSTOTM,CUSTOTF,RELEASE,RELEASEF,RELEASEM,CONV,CUSUNSM,CUSUNSF,RTIID,CITY,ZIP,CNTYCODE,FELONY,MISD,UNCONV,WEEKN,STATE,CODE,CountyState,Year,StateCode,CountyID,WhiteMales,WhiteFemales,AggrWhites,FreeColoredMales,FreeColoredFemales,AggrColored,MaleSlaves,FemaleSlaves,AggrSlaves,OneSlave,TwoSlaves,ThreeSlaves,FourSlaves,FiveSlaves,SixSlaves,SevenSlaves,EigthSlaves,NineSlaves,TenFourSlaves,FifteenNineSlaves,TwentyNineSlaves,ThirtyNineSlaves,FortyNineSlaves,FiftySixNineSlaves,SeventyNineSlaves,OneHundSlaves,TwoHundSlaves,ThreeHundSlaves,OneThouSlaves,GreaterSlaves,TotalSlaveholders,TotalSlaves,Families,TotalFree
0,ADA,,2015,ID,13,NA,0,1,50.0,NA,NA,93.0,NA,NA,742.0,NA,NA,8.0,NA,NA,12.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,27.0,NA,NA,11025.0,NA,NA,905.0,NA,NA,10935.0,3062,7873,160.0,NA,NA,10956552,Boise                   ,83704     ,16001,748.0,143.0,745,,IDAHO,JAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ADAIR,,2015,KY,18,NA,0,0,20.0,NA,NA,2.0,NA,NA,71.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,1695.0,NA,NA,93.0,NA,NA,1200.0,300,900,49.0,NA,NA,10956954,Columbia                ,42728     ,21001,60.0,33.0,44,4.0,KENTUCKY,JAIL,C,860.0,31.0,10.0,536.0,448.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,984.0
2,ADAIR,,2015,KY,18,NA,0,0,20.0,NA,NA,2.0,NA,NA,71.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,1695.0,NA,NA,93.0,NA,NA,1200.0,300,900,49.0,NA,NA,10956954,Columbia                ,42728     ,21001,60.0,33.0,44,4.0,KENTUCKY,JAIL,C,860.0,34.0,10.0,4442.0,3994.0,8436.0,4.0,5.0,9.0,35.0,51.0,86.0,16.0,4.0,5.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,86.0,1475.0,8445.0
3,ADAIR,,2015,KY,18,NA,0,0,20.0,NA,NA,2.0,NA,NA,71.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,1695.0,NA,NA,93.0,NA,NA,1200.0,300,900,49.0,NA,NA,10956954,Columbia                ,42728     ,21001,60.0,33.0,44,4.0,KENTUCKY,JAIL,C,860.0,51.0,10.0,3968.0,3879.0,7847.0,29.0,31.0,60.0,751.0,851.0,1602.0,98.0,46.0,32.0,38.0,23.0,16.0,14.0,12.0,13.0,22.0,11.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1602.0,1382.0,7907.0
4,ADAMS,,2015,CO,6,NA,0,0,89.0,NA,NA,0.0,NA,NA,0.0,NA,NA,7.0,NA,NA,5.0,NA,NA,0.0,NA,NA,778.0,NA,NA,0.0,NA,NA,0.0,NA,NA,46.0,NA,NA,16310.0,NA,NA,879.0,NA,NA,16867.0,2193,14674,475.0,NA,NA,10950320,Brighton                ,80601     ,8001,503.0,376.0,404,,COLORADO,JAIL,C,860.0,14.0,10.0,13708.0,13824.0,27532.0,228.0,246.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5264.0,28006.0
5,ADAMS,,2015,CO,6,NA,0,0,89.0,NA,NA,0.0,NA,NA,0.0,NA,NA,7.0,NA,NA,5.0,NA,NA,0.0,NA,NA,778.0,NA,NA,0.0,NA,NA,0.0,NA,NA,46.0,NA,NA,16310.0,NA,NA,879.0,NA,NA,16867.0,2193,14674,475.0,NA,NA,10950320,Brighton                ,80601     ,8001,503.0,376.0,404,,COLORADO,JAIL,C,860.0,21.0,10.0,21204.0,19940.0,41144.0,74.0,105.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7622.0,41323.0
6,ADAMS,,2015,CO,6,NA,0,0,89.0,NA,NA,0.0,NA,NA,0.0,NA,NA,7.0,NA,NA,5.0,NA,NA,0.0,NA,NA,778.0,NA,NA,0.0,NA,NA,0.0,NA,NA,46.0,NA,NA,16310.0,NA,NA,879.0,NA,NA,16867.0,2193,14674,475.0,NA,NA,10950320,Brighton                ,80601     ,8001,503.0,376.0,404,,COLORADO,JAIL,C,860.0,22.0,10.0,4837.0,4409.0,9246.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.0,9252.0
7,ADAMS,,2015,CO,6,NA,0,0,89.0,NA,NA,0.0,NA,NA,0.0,NA,NA,7.0,NA,NA,5.0,NA,NA,0.0,NA,NA,778.0,NA,NA,0.0,NA,NA,0.0,NA,NA,46.0,NA,NA,16310.0,NA,NA,879.0,NA,NA,16867.0,2193,14674,475.0,NA,NA,10950320,Brighton                ,80601     ,8001,503.0,376.0,404,,COLORADO,JAIL,C,860.0,24.0,10.0,10326.0,9878.0,20204.0,50.0,55.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3640.0,20309.0
8,ADAMS,,2015,CO,6,NA,0,0,89.0,NA,NA,0.0,NA,NA,0.0,NA,NA,7.0,NA,NA,5.0,NA,NA,0.0,NA,NA,778.0,NA,NA,0.0,NA,NA,0.0,NA,NA,46.0,NA,NA,16310.0,NA,NA,879.0,NA,NA,16867.0,2193,14674,475.0,NA,NA,10950320,Brighton                ,80601     ,8001,503.0,376.0,404,,COLORADO,JAIL,C,860.0,25.0,10.0,3402.0,3070.0,6472.0,11.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.0,6492.0
9,ADAMS,,2015,CO,6,NA,0,0,89.0,NA,NA,0.0,NA,NA,0.0,NA,NA,7.0,NA,NA,5.0,NA,NA,0.0,NA,NA,778.0,NA,NA,0.0,NA,NA,0.0,NA,NA,46.0,NA,NA,16310.0,NA,NA,879.0,NA,NA,16867.0,2193,14674,475.0,NA,NA,10950320,Brighton                ,80601     ,8001,503.0,376.0,404,,COLORADO,JAIL,C,860.0,31.0,30.0,822.0,711.0,1533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,1533.0
10,ADAMS,,2015,CO,6,NA,0,0,89.0,NA,NA,0.0,NA,NA,0.0,NA,NA,7.0,NA,NA,5.0,NA,NA,0.0,NA,NA,778.0,NA,NA,0.0,NA,NA,0.0,NA,NA,46.0,NA,NA,16310.0,NA,NA,879.0,NA,NA,16867.0,2193,14674,475.0,NA,NA,10950320,Brighton                ,80601     ,8001,503.0,376.0,404,,COLORADO,JAIL,C,860.0,46.0,10.0,2966.0,2682.0,5648.0,103.0,122.0,225.0,7023.0,7269.0,14292.0,86.0,69.0,49.0,59.0,45.0,52.0,29.0,21.0,17.0,62.0,29.0,42.0,24.0,20.0,28.0,28.0,22.0,3.0,3.0,0.0,0.0,688.0,14292.0,1083.0,5873.0
11,ADAMS,,2015,PA,39,NA,0,0,30.0,NA,NA,20.0,NA,NA,235.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,15.0,NA,NA,1741.0,NA,NA,285.0,NA,NA,1751.0,388,1363,165.0,NA,NA,10958054,Gettysburg              ,17325     ,42001,150.0,125.0,120,,PENNSYLVANIA,JAIL,C,860.0,14.0,10.0,13708.0,13824.0,27532.0,228.0,246.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5264.0,28006.0
12,ADAMS,,2015,PA,39,NA,0,0,30.0,NA,NA,20.0,NA,NA,235.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,15.0,NA,NA,1741.0,NA,NA,285.0,NA,NA,1751.0,388,1363,165.0,NA,NA,10958054,Gettysburg              ,17325     ,42001,150.0,125.0,120,,PENNSYLVANIA,JAIL,C,860.0,21.0,10.0,21204.0,19940.0,41144.0,74.0,105.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7622.0,41323.0
13,ADAMS,,2015,PA,39,NA,0,0,30.0,NA,NA,20.0,NA,NA,235.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,15.0,NA,NA,1741.0,NA,NA,285.0,NA,NA,1751.0,388,1363,165.0,NA,NA,10958054,Gettysburg              ,17325     ,42001,150.0,125.0,120,,PENNSYLVANIA,JAIL,C,860.0,22.0,10.0,4837.0,4409.0,9246.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.0,9252.0
14,ADAMS,,2015,PA,39,NA,0,0,30.0,NA,NA,20.0,NA,NA,235.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,15.0,NA,NA,1741.0,NA,NA,285.0,NA,NA,1751.0,388,1363,165.0,NA,NA,10958054,Gettysburg              ,17325     ,42001,150.0,125.0,120,,PENNSYLVANIA,JAIL,C,860.0,24.0,10.0,10326.0,9878.0,20204.0,50.0,55.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3640.0,20309.0
15,ADAMS,,2015,PA,39,NA,0,0,30.0,NA,NA,20.0,NA,NA,235.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,15.0,NA,NA,1741.0,NA,NA,285.0,NA,NA,1751.0,388,1363,165.0,NA,NA,10958054,Gettysburg              ,17325     ,42001,150.0,125.0,120,,PENNSYLVANIA,JAIL,C,860.0,25.0,10.0,3402.0,3070.0,6472.0,11.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.0,6492.0
16,ADAMS,,2015,PA,39,NA,0,0,30.0,NA,NA,20.0,NA,NA,235.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,15.0,NA,NA,1741.0,NA,NA,285.0,NA,NA,1751.0,388,1363,165.0,NA,NA,10958054,Gettysburg              ,17325     ,42001,150.0,125.0,120,,PENNSYLVANIA,JAIL,C,860.0,31.0,30.0,822.0,711.0,1533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,1533.0
17,ADAMS,,2015,PA,39,NA,0,0,30.0,NA,NA,20.0,NA,NA,235.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,15.0,NA,NA,1741.0,NA,NA,285.0,NA,NA,1751.0,388,1363,165.0,NA,NA,10958054,Gettysburg              ,17325     ,42001,150.0,125.0,120,,PENNSYLVANIA,JAIL,C,860.0,46.0,10.0,2966.0,2682.0,5648.0,103.0,122.0,225.0,7023.0,7269.0,14292.0,86.0,69.0,49.0,59.0,45.0,52.0,29.0,21.0,17.0,62.0,29.0,42.0,24.0,20.0,28.0,28.0,22.0,3.0,3.0,0.0,0.0,688.0,14292.0,1083.0,5873.0
18,ADAMS,,2015,WA,48,NA,0,0,1.0,NA,NA,17.0,NA,NA,8.0,NA,NA,0.0,NA,NA,1.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,20.0,NA,NA,895.0,NA,NA,27.0,NA,NA,891.0,110,781,5.0,NA,NA,10958595,Ritzville               ,99169     ,53001,21.0,6.0,22,,WASHINGTON,JAIL,C,860.0,14.0,10.0,13708.0,13824.0,27532.0,228.0,246.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5264.0,28006.0
19,ADAMS,,2015,WA,48,NA,0,0,1.0,NA,NA,17.0,NA,NA,8.0,NA,NA,0.0,NA,NA,1.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,20.0,NA,NA,895.0,NA,NA,27.0,NA,NA,891.0,110,781,5.0,NA,NA,10958595,Ritzville               ,99169     ,53001,21.0,6.0,22,,WASHINGTON,JAIL,C,860.0,21.0,10.0,21204.0,19940.0,41144.0,74.0,105.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7622.0,41323.0
