"","RTIID","GID","JURISID","COUNTY","NAME","YEAR","CITY","STATE","ZIP","STATEFIPS","CNTYCODE","STRATUM","FINALWT","DESIGNWT","CLASS","STATUS","CONFPOPJUNE","CONFPOPJUNE_FLAG","CONFPOP","CONFPOP_FLAG","NCONPOP","NCONPOP_FLAG","TOTPOP","TOTPOP_FLAG","WEEK","WEEK_FLAG","WEEKN","WEEKN_FLAG","NONCITZ","NONCITZ_FLAG","ADULTM","ADULTM_FLAG","ADULTF","ADULTF_FLAG","JUVM","JUVM_FLAG","JUVF","JUVF_FLAG","TOTGENDER","TOTGENDER_FLAG","ADLTJUV","ADLTJUV_FLAG","CONV","CONV_FLAG","UNCONV","UNCONV_FLAG","TOTCONVSTATUS","TOTCONVSTATUS_FLAG","FELONY","FELONY_FLAG","MISD","MISD_FLAG","OTHEROFFSPEC","OTHEROFF","OTHEROFF_FLAG","TOTOFF","TOTOFF_FLAG","WHITE","WHITE_FLAG","BLACK","BLACK_FLAG","HISP","HISP_FLAG","AIAN","AIAN_FLAG","ASIAN","ASIAN_FLAG","NHOPI","NHOPI_FLAG","TWORACE","TWORACE_FLAG","OTHERRACESPEC","OTHERRACE","OTHERRACE_FLAG","RACEDK","RACEDK_FLAG","RACETOTAL","RACETOTAL_FLAG","MARSHALS","MARSHALS_FLAG","BOP","BOP_FLAG","ICE","ICE_FLAG","BIA","BIA_FLAG","OTHERFEDSPEC","OTHERFED","OTHERFED_FLAG","INSTATEPRIS","INSTATEPRIS_FLAG","OUTSTATEPRIS","OUTSTATEPRIS_FLAG","TRIBAL","TRIBAL_FLAG","INSTATEJAIL","INSTATEJAIL_FLAG","OUTSTATEJAIL","OUTSTATEJAIL_FLAG","OTHERHOLDTOT","OTHERHOLDTOT_FLAG","PEAKDATE","PEAKPOP","PEAKPOP_FLAG","ADPM","ADPM_FLAG","ADPF","ADPF_FLAG","ADP","ADP_FLAG","RATED","RATED_FLAG","ADMISM","ADMISM_FLAG","ADMISF","ADMISF_FLAG","ADMIS","ADMIS_FLAG","RELEASEM","RELEASEM_FLAG","RELEASEF","RELEASEF_FLAG","RELEASE","RELEASE_FLAG","EMONITOR","EMONITOR_FLAG","HOMEDETN","HOMEDETN_FLAG","COMMSRV","COMMSRV_FLAG","DAYREPORT","DAYREPORT_FLAG","PRETRIAL","PRETRIAL_FLAG","ALTWORK","ALTWORK_FLAG","TREATMENT","TREATMENT_FLAG","OTRNONCONFSPEC","OTRNONCONF","OTRNONCONF_FLAG","NONCONFD","NONCONFD_FLAG","CORRSTAFF","CORRSTAFF_FLAG","CORRSTAFFM","CORRSTAFFM_FLAG","CORRSTAFFF","CORRSTAFFF_FLAG","OTHERSTAFF","OTHERSTAFF_FLAG","OTHERSTAFFM","OTHERSTAFFM_FLAG","OTHERSTAFFF","OTHERSTAFFF_FLAG","TOTALSTAFF","TOTALSTAFF_FLAG"
"1",10956003,"011002002061000000000","011002002","Baldwin County                                                              ","Baldwin County Sheriff's Office                                                                     ",2015,"Bay Minette             ","(01) Alabama","36507     ","01","01003","(01) 1: certainty jails: large jails and California jails",1,1,8,"(1) Respondent",559,"(1) Estimated by respondent",456,"(1) Estimated by respondent",0,"(0) Reported",456,"(1) Estimated by respondent","(0) No","(0) Reported",NA,NA,NA,NA,394,"(1) Estimated by respondent",62,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",456,"(1) Estimated by respondent",0,"(0) Reported",49,"(1) Estimated by respondent",407,"(1) Estimated by respondent",456,"(1) Estimated by respondent",187,"(3) Item imputed",269,"(3) Item imputed","                                                  ",0,"(3) Item imputed",456,"(1) Estimated by respondent",329,"(3) Item imputed",53,"(3) Item imputed",67,"(3) Item imputed",2,"(3) Item imputed",5,"(3) Item imputed",0,"(3) Item imputed",0,"(3) Item imputed","                                        ",0,"(3) Item imputed",0,"(3) Item imputed",456,"(1) Estimated by respondent",25,"(1) Estimated by respondent",11,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent","                                     ",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(1) Estimated by respondent",3,"(1) Estimated by respondent",0,"(1) Estimated by respondent",39,"(1) Estimated by respondent",1,549,"(1) Estimated by respondent",482,"(1) Estimated by respondent",103,"(1) Estimated by respondent",585,"(1) Estimated by respondent",651,"(1) Estimated by respondent",5642,"(1) Estimated by respondent",2076,"(1) Estimated by respondent",7718,"(1) Estimated by respondent",5718,"(1) Estimated by respondent",2116,"(1) Estimated by respondent",7834,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(0) Reported",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent","                                                  ",0,"(1) Estimated by respondent",0,"(0) Reported",91,"(0) Reported",60,"(0) Reported",31,"(0) Reported",28,"(0) Reported",3,"(0) Reported",25,"(0) Reported",119,"(0) Reported"
"2",10956005,"011004004061000000000","011004004","Bibb County                                                                 ","Bibb County Sheriffs Department                                                                     ",2015,"Brent                   ","(01) Alabama","35034     ","01","01007","(09) 9: 40 =< adp < 103 & juv = 0",9.29508197,9,19,"(1) Respondent",75,"(1) Estimated by respondent",85,"(2) Adjusted for consistency",0,"(0) Reported",85,"(2) Adjusted for consistency","(0) No","(0) Reported",NA,NA,0,"(1) Estimated by respondent",73,"(1) Estimated by respondent",12,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",85,"(1) Estimated by respondent",0,"(0) Reported",40,"(1) Estimated by respondent",45,"(1) Estimated by respondent",85,"(1) Estimated by respondent",85,"(1) Estimated by respondent",0,"(0) Reported","                                                  ",0,"(0) Reported",85,"(1) Estimated by respondent",61,"(1) Estimated by respondent",24,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                        ",0,"(0) Reported",0,"(0) Reported",85,"(1) Estimated by respondent",1,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                     ",0,"(0) Reported",12,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",13,"(0) Reported",31,85,"(1) Estimated by respondent",65,"(1) Estimated by respondent",10,"(1) Estimated by respondent",75,"(1) Estimated by respondent",82,"(1) Estimated by respondent",899,"(1) Estimated by respondent",325,"(1) Estimated by respondent",1224,"(1) Estimated by respondent",942,"(1) Estimated by respondent",282,"(1) Estimated by respondent",1224,"(0) Reported",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(0) Reported","                                                  ",0,"(1) Estimated by respondent",0,"(0) Reported",15,"(1) Estimated by respondent",9,"(1) Estimated by respondent",6,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",15,"(1) Estimated by respondent"
"3",10956016,"011015015061000000000","011015015","Cleburne County                                                             ","Cleburne County Sheriffs Office                                                                     ",2015,"Heflin                  ","(01) Alabama","36264     ","01","01029","(09) 9: 40 =< adp < 103 & juv = 0",9.29508197,9,19,"(1) Respondent",77,"(0) Reported",59,"(0) Reported",0,"(0) Reported",59,"(0) Reported","(0) No","(0) Reported",NA,NA,2,"(0) Reported",49,"(0) Reported",10,"(0) Reported",0,"(0) Reported",0,"(0) Reported",59,"(0) Reported",0,"(0) Reported",10,"(0) Reported",49,"(0) Reported",59,"(0) Reported",40,"(1) Estimated by respondent",19,"(1) Estimated by respondent","                                                  ",0,"(0) Reported",59,"(0) Reported",48,"(0) Reported",9,"(0) Reported",2,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                        ",0,"(0) Reported",0,"(0) Reported",59,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                     ",0,"(0) Reported",8,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",8,"(0) Reported",1,65,"(0) Reported",57,"(0) Reported",13,"(0) Reported",70,"(0) Reported",90,"(0) Reported",551,"(0) Reported",180,"(0) Reported",731,"(0) Reported",545,"(0) Reported",182,"(0) Reported",727,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                  ",0,"(0) Reported",0,"(0) Reported",15,"(0) Reported",10,"(0) Reported",5,"(0) Reported",1,"(0) Reported",1,"(0) Reported",0,"(0) Reported",16,"(0) Reported"
"4",10956023,"011022022061000000000","011022022","Cullman County                                                              ","Cullman County Sheriffs Office                                                                      ",2015,"Cullman                 ","(01) Alabama","35055     ","01","01043","(07) 7: 227 =< adp < 750 & juv = 0",1.31702066,1.27884614,17,"(1) Respondent",332,"(0) Reported",325,"(0) Reported",0,"(0) Reported",325,"(0) Reported","(1) Yes","(0) Reported",5,"(1) Estimated by respondent",8,"(1) Estimated by respondent",260,"(1) Estimated by respondent",65,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",325,"(0) Reported",0,"(0) Reported",210,"(1) Estimated by respondent",115,"(1) Estimated by respondent",325,"(0) Reported",141,"(1) Estimated by respondent",95,"(1) Estimated by respondent","Traffic Viol  Contempt  other viol.               ",89,"(1) Estimated by respondent",325,"(0) Reported",266,"(1) Estimated by respondent",37,"(1) Estimated by respondent",19,"(1) Estimated by respondent",0,"(0) Reported",1,"(1) Estimated by respondent",0,"(0) Reported",2,"(1) Estimated by respondent","                                        ",0,"(0) Reported",0,"(0) Reported",325,"(0) Reported",59,"(0) Reported",2,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                     ",0,"(0) Reported",257,"(0) Reported",0,"(0) Reported",0,"(0) Reported",7,"(0) Reported",0,"(0) Reported",325,"(0) Reported",16,350,"(0) Reported",251,"(0) Reported",52,"(0) Reported",303,"(0) Reported",326,"(0) Reported",3534,"(1) Estimated by respondent",884,"(1) Estimated by respondent",4418,"(0) Reported",3462,"(1) Estimated by respondent",865,"(1) Estimated by respondent",4327,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                  ",0,"(0) Reported",0,"(0) Reported",27,"(0) Reported",19,"(0) Reported",8,"(0) Reported",15,"(0) Reported",8,"(0) Reported",7,"(0) Reported",42,"(0) Reported"
"5",10956029,"011028028061000000000","011028028","Etowah County                                                               ","Etowah County Sheriffs Office                                                                       ",2015,"Gadsden                 ","(01) Alabama","35901     ","01","01055","(01) 1: certainty jails: large jails and California jails",1,1,8,"(1) Respondent",723,"(0) Reported",634,"(1) Estimated by respondent",0,"(1) Estimated by respondent",634,"(1) Estimated by respondent","(0) No","(0) Reported",NA,NA,250,"(1) Estimated by respondent",566,"(1) Estimated by respondent",66,"(1) Estimated by respondent",2,"(1) Estimated by respondent",0,"(0) Reported",634,"(1) Estimated by respondent",2,"(1) Estimated by respondent",66,"(3) Item imputed",568,"(3) Item imputed",634,"(1) Estimated by respondent",220,"(1) Estimated by respondent",165,"(1) Estimated by respondent","Hold for ICE                                      ",249,"(1) Estimated by respondent",634,"(1) Estimated by respondent",289,"(1) Estimated by respondent",150,"(1) Estimated by respondent",80,"(1) Estimated by respondent",0,"(1) Estimated by respondent",10,"(1) Estimated by respondent",0,"(1) Estimated by respondent",52,"(1) Estimated by respondent","                                        ",0,"(1) Estimated by respondent",53,"(1) Estimated by respondent",634,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",249,"(1) Estimated by respondent",0,"(1) Estimated by respondent","                                     ",0,"(1) Estimated by respondent",20,"(1) Estimated by respondent",2,"(1) Estimated by respondent",0,"(1) Estimated by respondent",2,"(1) Estimated by respondent",0,"(1) Estimated by respondent",273,"(1) Estimated by respondent",1,700,"(1) Estimated by respondent",610,"(1) Estimated by respondent",89,"(1) Estimated by respondent",699,"(1) Estimated by respondent",856,"(1) Estimated by respondent",5537,"(3) Item imputed",643,"(3) Item imputed",6180,"(1) Estimated by respondent",5617,"(3) Item imputed",653,"(3) Item imputed",6270,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                  ",0,"(0) Reported",0,"(1) Estimated by respondent",61,"(1) Estimated by respondent",50,"(1) Estimated by respondent",11,"(1) Estimated by respondent",23,"(1) Estimated by respondent",15,"(1) Estimated by respondent",8,"(1) Estimated by respondent",84,"(1) Estimated by respondent"
"6",10956030,"011029029061000000000","011029029","Fayette County                                                              ","Fayette County Sheriffs Office                                                                      ",2015,"Fayette                 ","(01) Alabama","35555     ","01","01057","(09) 9: 40 =< adp < 103 & juv = 0",9.29508197,9,19,"(1) Respondent",67,"(0) Reported",52,"(0) Reported",0,"(0) Reported",52,"(0) Reported","(1) Yes","(0) Reported",0,"(0) Reported",0,"(0) Reported",40,"(0) Reported",12,"(0) Reported",0,"(0) Reported",0,"(0) Reported",52,"(0) Reported",0,"(0) Reported",45,"(0) Reported",7,"(0) Reported",52,"(0) Reported",41,"(0) Reported",11,"(0) Reported","                                                  ",0,"(0) Reported",52,"(0) Reported",33,"(0) Reported",17,"(0) Reported",2,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                        ",0,"(0) Reported",0,"(0) Reported",52,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                     ",0,"(0) Reported",7,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",7,"(0) Reported",18,65,"(0) Reported",48,"(1) Estimated by respondent",12,"(1) Estimated by respondent",60,"(1) Estimated by respondent",68,"(0) Reported",538,"(1) Estimated by respondent",200,"(1) Estimated by respondent",738,"(0) Reported",494,"(1) Estimated by respondent",195,"(1) Estimated by respondent",689,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                  ",0,"(0) Reported",0,"(0) Reported",11,"(0) Reported",5,"(0) Reported",6,"(0) Reported",1,"(0) Reported",1,"(0) Reported",0,"(0) Reported",12,"(0) Reported"
"7",10956036,"011035035061000000000","011035035","Dale County, Henry County, Houston County                                   ","Houston County Sheriffs Office                                                                      ",2015,"Dothan                  ","(01) Alabama","36303     ","01","01069","(07) 7: 227 =< adp < 750 & juv = 0",1.31702066,1.27884614,17,"(1) Respondent",262,"(0) Reported",262,"(0) Reported",0,"(0) Reported",262,"(0) Reported","(1) Yes","(0) Reported",0,"(0) Reported",0,"(1) Estimated by respondent",221,"(0) Reported",38,"(0) Reported",3,"(0) Reported",0,"(0) Reported",262,"(0) Reported",3,"(0) Reported",27,"(1) Estimated by respondent",235,"(1) Estimated by respondent",262,"(0) Reported",216,"(0) Reported",46,"(0) Reported","                                                  ",0,"(0) Reported",262,"(0) Reported",115,"(0) Reported",139,"(0) Reported",8,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                        ",0,"(0) Reported",0,"(0) Reported",262,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                     ",0,"(0) Reported",27,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",27,"(0) Reported",13,306,"(0) Reported",252,"(1) Estimated by respondent",29,"(1) Estimated by respondent",281,"(1) Estimated by respondent",396,"(0) Reported",3408,"(1) Estimated by respondent",1250,"(1) Estimated by respondent",4658,"(1) Estimated by respondent",3150,"(1) Estimated by respondent",1574,"(1) Estimated by respondent",4724,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                  ",0,"(0) Reported",0,"(0) Reported",63,"(0) Reported",42,"(0) Reported",21,"(0) Reported",11,"(0) Reported",4,"(0) Reported",7,"(0) Reported",74,"(0) Reported"
"8",10950037,"011037037060000000100","011037037","Jefferson County, Shelby County                                             ","Jefferson County Sheriff's Office                                                                   ",2015,"Birmingham              ","(01) Alabama","35203     ","01","01073","(01) 1: certainty jails: large jails and California jails",1.01503759,1,7,"(1) Respondent",1100,"(1) Estimated by respondent",935,"(0) Reported",0,"(0) Reported",935,"(1) Estimated by respondent","(1) Yes","(0) Reported",11,"(1) Estimated by respondent",25,"(1) Estimated by respondent",807,"(0) Reported",104,"(0) Reported",23,"(0) Reported",1,"(0) Reported",935,"(0) Reported",24,"(0) Reported",169,"(0) Reported",766,"(0) Reported",935,"(0) Reported",870,"(0) Reported",63,"(0) Reported","Federal Transient                                 ",2,"(0) Reported",935,"(0) Reported",140,"(1) Estimated by respondent",773,"(1) Estimated by respondent",20,"(1) Estimated by respondent",0,"(0) Reported",2,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                        ",0,"(0) Reported",0,"(0) Reported",935,"(0) Reported",2,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                     ",0,"(0) Reported",169,"(0) Reported",7,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",178,"(1) Estimated by respondent",13,1034,"(1) Estimated by respondent",981,"(1) Estimated by respondent",110,"(1) Estimated by respondent",1091,"(1) Estimated by respondent",1070,"(0) Reported",13968,"(1) Estimated by respondent",1440,"(1) Estimated by respondent",15408,"(1) Estimated by respondent",12167,"(1) Estimated by respondent",2150,"(1) Estimated by respondent",14317,"(1) Estimated by respondent",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                  ",0,"(0) Reported",0,"(0) Reported",148,"(0) Reported",108,"(0) Reported",40,"(0) Reported",17,"(0) Reported",3,"(0) Reported",14,"(0) Reported",165,"(0) Reported"
"9",10956040,"011040040061000000000","011040040","Lawrence County                                                             ","Lawrence County Sheriffs Office                                                                     ",2015,"Moulton                 ","(01) Alabama","35650     ","01","01079","(08) 8: 103 =< adp < 227 & juv = 0",5.02620488,4.90361452,18,"(1) Respondent",97,"(0) Reported",94,"(0) Reported",3,"(1) Estimated by respondent",97,"(1) Estimated by respondent","(1) Yes","(0) Reported",4,"(1) Estimated by respondent",0,"(0) Reported",80,"(0) Reported",14,"(0) Reported",0,"(0) Reported",0,"(0) Reported",94,"(0) Reported",0,"(0) Reported",10,"(1) Estimated by respondent",84,"(1) Estimated by respondent",94,"(0) Reported",65,"(1) Estimated by respondent",29,"(1) Estimated by respondent","                                                  ",0,"(0) Reported",94,"(0) Reported",73,"(0) Reported",21,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                        ",0,"(0) Reported",0,"(0) Reported",94,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                     ",0,"(0) Reported",6,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",6,"(0) Reported",16,104,"(0) Reported",80,"(1) Estimated by respondent",14,"(1) Estimated by respondent",94,"(0) Reported",132,"(1) Estimated by respondent",1600,"(1) Estimated by respondent",400,"(1) Estimated by respondent",2000,"(0) Reported",1200,"(1) Estimated by respondent",400,"(1) Estimated by respondent",1600,"(1) Estimated by respondent",3,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent",0,"(1) Estimated by respondent","                                                  ",0,"(1) Estimated by respondent",3,"(1) Estimated by respondent",13,"(0) Reported",11,"(0) Reported",2,"(0) Reported",5,"(1) Estimated by respondent",0,"(0) Reported",5,"(0) Reported",18,"(0) Reported"
"10",10956041,"011041041061000000000","011041041","Lee County                                                                  ","Lee County Sheriffs Office                                                                          ",2015,"Opelika                 ","(01) Alabama","36801     ","01","01081","(07) 7: 227 =< adp < 750 & juv = 0",1.31702066,1.27884614,17,"(1) Respondent",329,"(0) Reported",379,"(0) Reported",1,"(0) Reported",380,"(0) Reported","(1) Yes","(0) Reported",10,"(0) Reported",13,"(0) Reported",325,"(0) Reported",51,"(0) Reported",3,"(0) Reported",0,"(0) Reported",379,"(0) Reported",3,"(0) Reported",76,"(0) Reported",303,"(0) Reported",379,"(0) Reported",232,"(2) Adjusted for consistency",147,"(2) Adjusted for consistency","                                                  ",0,"(0) Reported",379,"(0) Reported",180,"(0) Reported",191,"(0) Reported",7,"(0) Reported",0,"(0) Reported",1,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                        ",0,"(0) Reported",0,"(0) Reported",379,"(0) Reported",18,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                     ",0,"(0) Reported",15,"(0) Reported",0,"(0) Reported",0,"(0) Reported",34,"(0) Reported",0,"(0) Reported",67,"(0) Reported",12,401,"(0) Reported",340,"(0) Reported",57,"(0) Reported",397,"(0) Reported",424,"(0) Reported",5513,"(0) Reported",1947,"(0) Reported",7460,"(0) Reported",5515,"(0) Reported",1940,"(0) Reported",7455,"(0) Reported",0,"(0) Reported",1,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported",0,"(0) Reported","                                                  ",0,"(0) Reported",1,"(0) Reported",55,"(0) Reported",39,"(0) Reported",16,"(0) Reported",13,"(0) Reported",6,"(0) Reported",7,"(0) Reported",68,"(0) Reported"
