Bureau of Justice Statistics,,,
Filename: p16f02.csv,,,
"Figure 2. Imprisonment rate of sentenced prisoners under the jurisdiction of state or federal correctional authorities, per 100,000 U.S. residents age 18 or older, by race and Hispanic origin, December 31, 2006–2016",,,
Report title: Prisoners in 2016 NCJ 251149,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2006–2016; Federal Justice Statistics Program, 2016; National Corrections Reporting Program, 2015; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,
"Author(s): E. Ann Carson, BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 1/2/2018,,,
,,,
,,,
"Figure 2. Imprisonment rate of sentenced prisoners under the jurisdiction of state or federal correctional authorities, per 100,000 U.S. residents age 18 or older, by race and Hispanic origin, December 31, 2006–2016",,,
,,,
,White/*,Black/*,Hispanic
2006,324,2261,1073
2007,317,2233,1094
2008,316,2196,1057
2009,308,2134,1060
2010,307,2059,1014
2011,299,1973,990
2012,293,1873,949
2013,291,1817,922
2014,289,1754,893
2015,281,1670,862
2016,274,1608,856
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year. Imprisonment rate is per 100,000 U.S. residents age 18 or older.",,,
*Excludes persons of Hispanic origin.,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2006–2016; Federal Justice Statistics Program, 2016; National Corrections Reporting Program, 2015; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,
