Bureau of Justice Statistics,,,,,,,,,,,
Filename: p16t01.csv,,,,,,,,,,,
"Table 1. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, December 31, 2006–2016",,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2006–2016.",,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, December 31, 2006–2016",,,,,,,,,,,
Year,,Total,,Federal/a,,State,,Male,,Female,
2006,,"1,568,674",,"193,046",,"1,375,628",,"1,456,366",,"112,308",
2007,,"1,596,835",,"199,618",,"1,397,217",,"1,482,524",,"114,311",
2008,,"1,608,282",,"201,280",,"1,407,002",,"1,493,670",,"114,612",
2009,,"1,615,487",,"208,118",,"1,407,369",,"1,502,002",,"113,485",
2010,,"1,613,803",,"209,771",,"1,404,032",,"1,500,936",,"112,867",
2011,,"1,598,968",,"216,362",,"1,382,606",,"1,487,561",,"111,407",
2012,,"1,570,397",,"217,815",,"1,352,582",,"1,461,625",,"108,772",
2013,,"1,576,950",,"215,866",,"1,361,084",,"1,465,592",,"111,358",
2014,,"1,562,319",,"210,567",,"1,351,752",,"1,449,291",,"113,028",
2015,,"1,526,603",,"196,455",,"1,330,148",,"1,415,112",,"111,491",
2016/b,,"1,505,397",,"189,192",,"1,316,205",,"1,393,975",,"111,422",
Percent change,,,,,,,,,,,
,"Average annual,   2006–2015   ",-0.3,%,0.2,%,-0.3,%,-0.3,%,-0.1,%
,2015–2016,-1.4,,-3.7,,-1,,-1.5,,-0.1,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held.",,,,,,,,,,,
"a/Includes prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities.",,,,,,,,,,,
"b/Total and state estimates include imputed counts for North Dakota and Oregon, which did not submit 2016 data to National Prisoner Statistics program. See Methodology.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2006–2016.",,,,,,,,,,,
