Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p16t02.csv,,,,,,,,,,,,,,,
"Table 2. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, December 31, 2015 and 2016",,,,,,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2015–2016.",,,,,,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 2. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, December 31, 2015 and 2016",,,,,,,,,,,,,,,
,,2015,,,,2016,,,,"Percent change, 2015–2016",,,,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,U.S. total/a,"1,526,603","1,415,112","111,491",,"1,505,397","1,393,975","111,422",,-1.4,%,-1.5,%,-0.1,%
Federal/b,,"196,455","183,502","12,953",,"189,192","176,495","12,697",,-3.7,%,-3.8,%,-2.0,%
State/a,,"1,330,148","1,231,610","98,538",,"1,316,205","1,217,480","98,725",,-1.0,%,-1.1,%,0.2,%
,Alabama,"30,810","28,220","2,590",,"28,883","26,506","2,377",,-6.3,,-6.1,,-8.2,
,Alaska/c,"5,338","4,761",577,,"4,434","4,024",410,,-16.9,,-15.5,,-28.9,
,Arizona,"42,719","38,738","3,981",,"42,320","38,323","3,997",,-0.9,,-1.1,,0.4,
,Arkansas,"17,707","16,305","1,402",,"17,537","16,161","1,376",,-1.0,,-0.9,,-1.9,
,California,"129,593","123,808","5,785",,"130,390","124,487","5,903",,0.6,,0.5,,2.0,
,Colorado,"20,041","18,199","1,842",,"19,981","18,078","1,903",,-0.3,,-0.7,,3.3,
,Connecticut/c,"15,816","14,695","1,121",,"14,957","13,892","1,065",,-5.4,,-5.5,,-5.0,
,Delaware/c,"6,654","6,117",537,,"6,585","6,047",538,,-1.0,,-1.1,,0.2,
,Florida,"101,424","94,481","6,943",,"99,974","93,111","6,863",,-1.4,,-1.5,,-1.2,
,Georgia,"52,193","48,578","3,615",,"53,627","49,839","3,788",,2.7,,2.6,,4.8,
,Hawaii/c,"5,879","5,177",702,,"5,602","4,934",668,,-4.7,,-4.7,,-4.8,
,Idaho,"8,052","7,068",984,,"8,252","7,239","1,013",,2.5,,2.4,,2.9,
,Illinois/d,"46,240","43,565","2,675",,"43,657","41,044","2,613",,:,,:,,:,
,Indiana,"27,355","24,815","2,540",,"25,546","23,341","2,205",,-6.6,,-5.9,,-13.2,
,Iowa,"8,849","8,041",808,,"9,031","8,210",821,,2.1,,2.1,,1.6,
,Kansas,"9,857","9,018",839,,"9,920","9,051",869,,0.6,,0.4,,3.6,
,Kentucky,"21,701","19,114","2,587",,"23,022","20,080","2,942",,6.1,,5.1,,13.7,
,Louisiana,"36,377","34,331","2,046",,"35,682","33,701","1,981",,-1.9,,-1.8,,-3.2,
,Maine,"2,279","2,072",207,,"2,404","2,169",235,,5.5,,4.7,,13.5,
,Maryland,"20,764","19,849",915,,"19,994","19,172",822,,-3.7,,-3.4,,-10.2,
