Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p16t06.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6.  Imprisonment rate of sentenced prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and demographic characteristics, December 31, 2006–2016",,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2006–2016; Federal Justice Statistics Program, 2016; National Corrections Reporting Program, 2015; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6.  Imprisonment rate of sentenced prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and demographic characteristics, December 31, 2006–2016",,,,,,,,,,,,,,,,,,,,,,,,
,,"Per 100,000 U.S. residents of all ages",,,,,,,,,,,"Per 100,000 U.S. residents age 18 or older",,,,,,,,,,,
Year,,Total,,Federal/b,,State,,Male,,Female,,,Total,,Male,,Female,,"White/c,d",,"Black/c,d",,Hispanic/d,
2006,,501,,58,,443,,948,,68,,,666,,"1,275",,89,,324,,"2,261",,"1,073",
2007,,506,,59,,447,,955,,69,,,670,,"1,282",,90,,317,,"2,233",,"1,094",
2008,,506,,60,,447,,956,,69,,,669,,"1,279",,90,,316,,"2,196",,"1,057",
2009,,504,,61,,443,,952,,67,,,665,,"1,271",,88,,308,,"2,134",,"1,060",
2010,,500,,61,,439,,948,,66,,,656,,"1,260",,86,,307,,"2,059",,"1,014",
2011,,492,,63,,429,,932,,65,,,644,,"1,236",,84,,299,,"1,973",,990,
2012,,480,,62,,417,,910,,63,,,626,,"1,201",,82,,293,,"1,873",,949,
2013,,479,,61,,417,,906,,65,,,623,,"1,194",,83,,291,,"1,817",,922,
2014,,471,,60,,412,,890,,65,,,612,,"1,170",,84,,289,,"1,754",,893,
2015,,459,,55,,403,,865,,64,,,595,,"1,135",,82,,281,,"1,670",,862,
2016/a,,450,,53,,397,,847,,64,,,582,,"1,108",,82,,274,,"1,608",,856,
Percent change,,,,,,,,,,,,,,,,,,,,,,,,
,"Average annual, 2006–2015",-0.9,%,-0.4,%,-1.0,%,-0.9,%,-0.6,%,,-1.1,%,-1.2,%,-0.8,%,-1.4,%,-3.0,%,-2.2,%
,2015–2016,-1.9,,-4.7,,-1.6,,-2.1,,-0.2,,,-2.1,,-2.3,,-0.4,,-2.5,,-3.7,,-0.6,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year.",,,,,,,,,,,,,,,,,,,,,,,,
"a/Total and state estimates include imputed counts for North Dakota and Oregon, which did not submit 2016 NPS data. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities.",,,,,,,,,,,,,,,,,,,,,,,,
c/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,,,,,,,,,,,,
d/Race and Hispanic origin rates for all years have been reestimated using a different method and will not match previously published rates. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2006–2016; Federal Justice Statistics Program, 2016; National Corrections Reporting Program, 2015; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,
