Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p16t08.csv,,,,,,,,,,,,,,
"Table 8. Admissions and releases of sentenced prisoners under jurisdiction of state or federal correctional authorities, 2015 and 2016",,,,,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2015–2016.",,,,,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 8. Admissions and releases of sentenced prisoners under jurisdiction of state or federal correctional authorities, 2015 and 2016",,,,,,,,,,,,,,
,,Admissions/a,,,,,,,Releases/b,,,,,
Jurisdiction,,2015 total,2016 total,"Percent change, 2015–2016",,2016 new court commitments,2016 post-custody supervision violations/c,,2015 total,2016 total,"Percent change, 2015–2016",,"2016 unconditional/d,e","2016 conditional/e,f"
,U.S. total/g,"608,318","606,000",-0.4,%,"419,028","173,468",,"641,027","626,024",-2.3,%,"168,752","426,755"
Federal/e,,"46,912","44,682",-4.8,%,"40,432","4,249",,"60,156","52,035",-13.5,%,"50,775",308
State/g,,"561,406","561,318",0.0,%,"378,596","169,219",,"580,871","573,989",-1.2,%,"117,977","426,447"
,Alabama,"10,451","10,749",2.9,,"7,738","1,234",,"11,446","12,711",11.1,,"3,912","7,756"
,"Alaska/h,i","4,271","1,804",:,,"1,650",154,,"4,085","2,159",:,,515,"1,532"
,Arizona,"14,670","13,663",-6.9,,"11,042","2,489",,"14,092","13,857",-1.7,,"2,430","11,190"
,Arkansas,"9,351","9,911",6.0,,"4,431","5,480",,"9,702","10,370",6.9,,804,"9,494"
,California/j,"34,790","35,730",2.7,,"31,518","4,212",,"41,257","34,528",-16.3,,52,"17,063"
,Colorado,"9,291","8,707",-6.3,,"5,428","3,279",,"9,958","8,934",-10.3,,"1,212","7,569"
,Connecticut/h,"5,377","4,747",-11.7,,"4,002",635,,"5,937","5,618",-5.4,,"2,733","2,865"
,"Delaware/h,k","3,146","3,096",-1.6,,"2,337",729,,"4,261","4,041",-5.2,,314,"3,658"
,Florida/l,"30,431","29,038",-4.6,,"28,236",99,,"32,690","31,166",-4.7,,"19,193","11,595"
,Georgia,"17,227","17,585",2.1,,"15,491","2,086",,"15,599","15,053",-3.5,,"6,982","7,940"
,Hawaii/h,"1,515","1,538",1.5,,926,612,,"1,293","1,666",28.8,,366,591
,Idaho,"4,092","5,766",40.9,,"3,768","1,987",,"5,315","5,479",3.1,,505,"4,923"
,Illinois/m,"27,175","25,661",-5.6,,"16,831","8,828",,"29,650","28,615",-3.5,,"4,100","24,414"
,Indiana/n,"16,021","12,600",-21.4,,"8,301","4,132",,"16,075","14,561",-9.4,,"1,307","13,182"
,Iowa,"5,120","5,541",8.2,,"3,885","1,624",,"5,134","5,305",3.3,,"1,156","4,043"
,Kansas,"5,884","6,442",9.5,,"3,796","1,496",,"5,924","6,394",7.9,,"1,718","4,630"
,Kentucky,"19,356","20,111",3.9,,"11,295","8,672",,"18,476","18,552",0.4,,"4,118","13,814"
,Louisiana,"15,746","15,877",0.8,,"10,384","5,493",,"17,971","16,308",-9.3,,"1,108","15,061"
,Maine,845,657,-22.2,,650,5,,682,647,-5.1,,239,402
,Maryland/o,"9,837","8,843",-10.1,,"6,128","2,712",,"10,258","9,459",-7.8,,"3,255","6,148"
,Massachusetts,"2,214","2,059",-7.0,,"1,825",225,,"2,708","2,458",-9.2,,"1,853",575
,Michigan,"12,982","12,573",-3.2,,"7,004","3,058",,"13,713","14,081",2.7,,703,"11,151"
,Minnesota,"8,057","8,027",-0.4,,"4,845","3,182",,"7,669","8,254",7.6,,955,"7,278"
,Mississippi,"6,461","7,510",16.2,,"5,437","1,953",,"6,104","7,080",16.0,,566,"6,443"
,Missouri,"18,208","18,426",1.2,,"9,834","8,589",,"17,930","18,410",2.7,,"1,608","16,678"
,Montana,"2,394","2,666",11.4,,"1,990",676,,"2,413","2,546",5.5,,260,"2,264"
,Nebraska,"2,283","2,310",1.2,,"1,823",485,,"2,317","2,366",2.1,,732,"1,594"
,Nevada/i,"6,368","6,059",:,,"4,754",893,,"5,838","5,778",:,,"2,525","3,209"
