Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p16t09.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Percent of sentenced prisoners under jurisdiction of state or federal correctional authorities, by sex, race, Hispanic origin, and age, December 31, 2016",,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2016; Federal Justice Statistics Program, 2016; National Corrections Reporting Program, 2015; and Survey of Prison Inmates, 2016 (preliminary).",,,,,,,,,,,,,,,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Percent of sentenced prisoners under jurisdiction of state or federal correctional authorities, by sex, race, Hispanic origin, and age, December 31, 2016",,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,Female,,,,,,,,,
Age group,,Total/a,,All male/a,,White/b,,Black/b,,Hispanic,,Other/b,,,All female/a,,White/b,,Black/b,,Hispanic,,Other/b,
,Total/c,100,%,100,%,100,%,100,%,100,%,100,%,,100,%,100,%,100,%,100,%,100,%
18–19,,0.8,,0.8,,0.4,,1.1,,0.9,,0.8,,,0.5,,0.4,,0.5,,0.5,,0.6,
20–24,,10.0,,10.0,,7.2,,11.9,,11.0,,11.3,,,8.7,,7.4,,10.8,,10.4,,10.6,
25–29,,15.8,,15.7,,13.4,,16.8,,17.2,,16.0,,,18.0,,17.6,,17.7,,19.7,,18.8,
30–34,,16.3,,16.1,,15.4,,15.6,,17.9,,17.8,,,19.1,,19.4,,16.7,,21.2,,20.6,
35–39,,15.2,,15.1,,14.4,,14.9,,16.5,,15.0,,,16.3,,16.4,,14.8,,17.6,,16.5,
40–44,,11.9,,11.9,,11.8,,11.6,,12.5,,12.3,,,12.1,,12.3,,11.8,,11.4,,12.4,
45–49,,10.2,,10.2,,11.4,,9.9,,9.2,,9.9,,,10.0,,10.4,,10.8,,8.3,,8.2,
50–54,,8.5,,8.6,,10.3,,8.3,,6.7,,7.5,,,7.8,,8.2,,8.9,,5.7,,6.5,
55–59,,5.7,,5.8,,7.3,,5.5,,4.0,,4.7,,,4.3,,4.5,,4.9,,2.6,,3.5,
60–64,,3.0,,3.1,,4.1,,2.6,,2.2,,2.3,,,1.9,,2.0,,2.0,,1.0,,1.2,
65 or older,,2.6,,2.7,,4.3,,1.7,,1.8,,2.3,,,1.3,,1.6,,1.0,,1.0,,1.2,
,Number of sentenced prisoners/d,"1,458,173",,"1,352,684",,"390,900",,"466,600",,"320,000",,"175,200",,,"105,489",,"48,900",,"20,300",,"19,300",,"17,000",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year under jurisdiction of state or federal correctional officials. Federal data include prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities. Includes imputed counts for North Dakota and Oregon, which did not submit 2016 NPS data. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and Other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin.,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons age 17 or younger.,,,,,,,,,,,,,,,,,,,,,,,,
d/Rounded to the nearest 100.,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2016; Federal Justice Statistics Program, 2016; National Corrections Reporting Program, 2015; and Survey of Prison Inmates, 2016 (preliminary).",,,,,,,,,,,,,,,,,,,,,,,,
