Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p16t17.csv,,,,,,,,,,,,,,
"Table 17. Prisoners under the jurisdiction of state or federal correctional authorities held in the custody of private prisons and local jails, December 31, 2015 and 2016",,,,,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2015–2016.",,,,,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 17. Prisoners under the jurisdiction of state or federal correctional authorities held in the custody of private prisons and local jails, December 31, 2015 and 2016",,,,,,,,,,,,,,
,,Prisoners held in private prisons/a,,,,,,,Prisoners held in local jails,,,,,
Jurisdiction,,2015,2016,Percent change 2015–2016,,"Percentage of total jurisdiction, 2016",,,2015,2016,Percent change 2015–2016,,"Percentage of total jurisdiction, 2016",
,U.S. total,"126,272","128,323",1.6,%,8.5,%,,"81,196","83,679",3.1,%,5.6,%
Federal/b,,"34,934","34,159",-2.2,%,18.1,%,,769,832,8.2,%,0.4,%
State,,"91,338","94,164",3.1,%,7.2,%,,"80,427","82,847",3.0,%,6.3,%
,Alabama,398,348,-12.6,,1.2,,,"1,788","1,445",-19.2,,5.0,
,Alaska/c,593,551,-7.1,,12.4,,,46,40,-13.0,,0.9,
,Arizona,"6,471","8,285",28.0,,19.6,,,439,0,-100.0,,0.0,
,Arkansas,0,0,~,,~,,,"1,923","1,369",-28.8,,7.8,
,California,"2,195","7,005",219.1,,5.4,,,0,"1,651",~,,:,
,Colorado,"3,987","3,564",-10.6,,17.8,,,82,376,358.5,,1.9,
,Connecticut/c,524,508,-3.1,,3.4,,,0,0,~,,~,
,Delaware/c,0,0,~,,~,,,0,0,~,,~,
,Florida,"12,487","12,176",-2.5,,12.2,,,"1,073","1,161",8.2,,1.2,
,Georgia,"7,953","7,973",0.3,,14.9,,,"4,902","5,066",3.3,,9.4,
,Hawaii/c,"1,340","1,405",4.9,,25.1,,,0,0,~,,~,
,Idaho,545,420,-22.9,,5.1,,,814,791,-2.8,,9.6,
,Illinois,0,0,~,,~,,,0,0,~,,~,
,Indiana,"4,204","3,927",-6.6,,15.4,,,596,403,-32.4,,1.6,
,Iowa,0,0,~,,~,,,0,0,~,,~,
,Kansas,0,0,~,,~,,,78,78,0.0,,0.8,
,Kentucky,0,0,~,,~,,,"9,738","11,151",14.5,,48.4,
,Louisiana,"3,152",0,:,,:,,,"17,930","20,623",15.0,,57.8,
,Maine,0,0,~,,~,,,20,11,-45.0,,0.5,
,Maryland,30,25,-16.7,,0.1,,,163,94,-42.3,,0.5,
,Massachusetts,0,0,~,,~,,,431,363,-15.8,,3.9,
,Michigan,0,0,~,,~,,,295,0,-100.0,,0.0,
,Minnesota,0,0,~,,~,,,"1,211","1,023",-15.5,,9.7,
,Mississippi,"3,946","3,078",-22.0,,16.0,,,"4,933","5,040",2.2,,26.3,
,Missouri,0,0,~,,~,,,0,0,~,,~,
,Montana,"1,490","1,481",-0.6,,38.8,,,491,589,20.0,,15.4,
,Nebraska,0,0,~,,~,,,218,149,-31.7,,2.8,
,Nevada,0,0,~,,~,,,102,120,17.6,,0.9,
,New Hampshire,0,0,~,,~,,,46,44,-4.3,,1.6,
,New Jersey,"2,863","2,720",-5.0,,13.7,,,101,83,-17.8,,0.4,
,New Mexico,"3,026","3,040",0.5,,43.1,,,0,0,~,,~,
,New York,0,0,~,,~,,,6,13,116.7,,0.0,
,North Carolina,29,30,3.4,,0.1,,,0,0,~,,~,
,North Dakota,427,/,:,,:,,,37,/,:,,:,
,Ohio,"6,050","6,259",3.5,,12.0,,,0,0,~,,~,
,Oklahoma,"7,446","7,149",-4.0,,26.6,,,"1,173",316,-73.1,,1.2,
,Oregon,/,/,:,,:,,,/,/,:,,:,
,Pennsylvania,605,680,12.4,,1.4,,,984,526,-46.5,,1.1,
,Rhode Island/c,0,0,~,,~,,,0,0,~,,~,
,South Carolina,14,12,-14.3,,0.1,,,332,344,3.6,,1.6,
,South Dakota,22,34,54.5,,0.9,,,1,0,-100.0,,0.0,
,Tennessee,"5,172","7,433",43.7,,26.4,,,"8,416","6,725",-20.1,,23.8,
,Texas,"14,293","13,692",-4.2,,8.4,,,"11,093","12,051",8.6,,7.4,
,Utah,0,0,~,,~,,,"1,601","1,618",1.1,,26.2,
,Vermont/c,241,264,9.5,,15.2,,,0,0,~,,~,
,Virginia,"1,568","1,576",0.5,,4.2,,,"7,973","7,931",-0.5,,21.0,
,Washington,0,0,~,,~,,,158,178,12.7,,0.9,
,West Virginia,0,0,~,,~,,,"1,193","1,263",5.9,,17.6,
,Wisconsin,0,0,~,,~,,,27,187,592.6,,0.8,
,Wyoming,267,269,0.7,,11.3,,,13,7,-46.2,,0.3,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Totals include imputed counts for North Dakota and Oregon, which did not submit these data to the 2016 NPS.",,,,,,,,,,,,,,
: Not calculated.,,,,,,,,,,,,,,
~Not applicable.,,,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,,,
a/Includes prisoners held in private facilities in the jurisdiction and another state.,,,,,,,,,,,,,,
"b/Includes federal prisoners held in nonsecure, privately operated facilities (9,211) and on home confinement (3,282). Excludes persons held in immigration detention facilities pending adjudication.",,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2015–2016.",,,,,,,,,,,,,,
