Bureau of Justice Statistics,,,,,,,,,,
Filename: p16t18.csv,,,,,,,,,,
"Table 18. Prisoners under military jurisdiction, by branch of service, December 31, 2015 and 2016",,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary for Defense for Personnel and Readiness, U.S. Department of Defense, 2015–2016.",,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Table 18. Prisoners under military jurisdiction, by branch of service, December 31, 2015 and 2016",,,,,,,,,,
,,Total population/a,,,,,Sentenced population/b,,,
Jurisdiction,,2015,2016,Percent change 2015–2016,,,2015,2016,Percent change 2015–2016,
,Total number of prisoners,"1,398","1,338",-4.3,%,,"1,092","1,084",-0.7,%
Military branch of service,,,,,,,,,,
,Air Force,250,236,-5.6,%,,187,192,2.7,%
,Army,668,646,-3.3,,,589,577,-2,
,Marine Corps,255,245,-3.9,,,157,153,-2.5,
,Navy,202,191,-5.4,,,141,145,2.8,
,Coast Guard,23,20,-13,,,18,17,-5.6,
In custody of—,,,,,,,,,,
,Air Force,33,27,-18.2,%,,2,5,:,
,Army,802,781,-2.6,,,736,713,-3.1,%
,Marine Corps,80,109,36.3,,,13,27,107.7,
,Navy,483,421,-12.8,,,341,339,-0.6,
: Not calculated.,,,,,,,,,,
"a/Includes all prisoners under military jurisdiction, regardless of conviction status or sentence length.",,,,,,,,,,
b/Includes prisoners sentenced to more than 1 year under military jurisdiction.,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary for Defense for Personnel and Readiness, U.S. Department of Defense, 2015–2016.",,,,,,,,,,
