Bureau of Justice Statistics,,,,,,,,,
Filename: p16t20.csv,,,,,,,,,
"Table 20. Prisoners under jurisdiction or in custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2016",,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2016.",,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Table 20. Prisoners under jurisdiction or in custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2016",,,,,,,,,
,,,,,,,,,
,,Jurisdiction population,,,,,Capacity,,
Jurisdiction,,Total/a,Sentenced to more than 1 year/a,,Total custody population,,Rated,Operational,Design
,Total,"10,613","9,560",,"12,266",,,,
American Samoa/b,,/,/,,189,,/,/,/
Guam/c,,752,358,,738,,443,...,443
Commonwealth of the Northern Mariana Islands,,262,169,,262,,559,272,559
Commonwealth of Puerto Rico,,"8,930","8,655",,"10,500",,"14,511","14,632","14,632"
U.S. Virgin Islands/d,,669,378,,577,,468,355,550
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Custody refers to the physical location where the prisoner is held.",,,,,,,,,
...Not available. Specific type of capacity is not measured by territory.,,,,,,,,,
/Not reported.,,,,,,,,,
a/Excludes counts for American Samoa.,,,,,,,,,
b/American Samoa has not submitted NPS data since 2011. Custody data were located in the 2015 American Samoa Statistical Yearbook (http://doc.as.gov/wp-content/uploads/2011/06/2015-Statistical-Yearbook.pdf) and represent the number of persons in custody as of December 2015. ,,,,,,,,,
"c/Guam did not submit 2016 NPS data. Population data represent populations on January 1, 2017, and were located in a Guam Department of Corrections report (http://doc.guam.gov/wp-doc-content/uploads/2016/09/Guam-DOC-Population-Report-for-January-01-2017.pdf). Capacity data are from 2014, the last time Guam submitted NPS data.",,,,,,,,,
d/U.S. Virgin Islands did not submit NPS data from 2014 to 2016 and had inconsistent 2013 data. Data are from 2012.,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2016.",,,,,,,,,
