Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p16t21.csv,,,,,,,,,,,,
"Table 21. Prisoners under jurisdiction of state or federal correctional authorities, by state and federal reported not self-identified race and Hispanic origin, December 31, 2016",,,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics (BJS), National Prisoner Statistics (NPS), 2016; and Federal Justice Statistics Program (FJSP), 2016 (preliminary).",,,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 21. Prisoners under jurisdiction of state or federal correctional authorities, by state and federal reported not self-identified race and Hispanic origin, December 31, 2016",,,,,,,,,,,,
,,,,,,,,,,,,
Jurisdiction,,Total,White/a,Black/a,Hispanic,American Indian or Alaska Native/a,Asian/a,Native Hawaiian or Other Pacific Islander/a,Two or more races/a,Other/a,Unknown,Did not report
"Federal/b,c",,"189,192","51,873","70,019","61,210","3,540","2,550",/,~,~,/,0
State,,,,,,,,,,,,
,Alabama,"28,883","12,704","16,040",0,1,2,0,0,0,136,0
,Alaska,"4,434","1,965",454,136,"1,609",140,56,~,~,34,40
,Arizona,"42,320","16,462","5,874","16,835","2,223",175,0,0,659,20,72
,Arkansas,"17,537","9,591","7,248",555,58,64,6,0,15,0,0
,California,"130,390","28,102","37,193","56,123","1,394","1,333",338,0,"5,907",0,0
,Colorado,"19,981","9,268","3,541","6,238",599,210,/,/,/,6,119
,Connecticut,"14,957","4,806","6,132","3,908",37,72,0,0,0,2,0
,Delaware,"6,585","2,565","3,722",286,1,8,0,0,0,3,0
,Florida/d,"99,974","39,689","47,419","12,525",85,20,9,0,224,3,0
,Georgia,"53,627","18,814","32,571","1,961",28,182,1,62,~,8,0
,Hawaii,"5,602","1,221",261,145,26,"1,078","2,433",0,120,318,0
,Idaho,"8,252","6,173",221,"1,349",308,32,1,0,0,168,0
,Illinois,"43,657","13,236","24,598","5,522",60,163,/,17,0,20,41
,Indiana,"25,546","15,592","8,651","1,077",45,69,7,80,~,25,0
,Iowa,"9,031","5,925","2,271",608,151,76,0,0,0,0,0
,Kansas,"9,920","5,581","2,844","1,174",207,99,0,0,2,13,0
,Kentucky,"23,022","17,514","4,903",302,17,30,0,240,~,12,4
,Louisiana,"35,682","11,631","23,895",43,20,45,46,~,2,0,0
,Maine,"2,404","1,989",190,110,69,11,0,15,0,20,0
,Maryland/e,"19,994","5,202","13,746",635,105,44,12,/,221,29,0
,Massachusetts,"9,403","4,144","2,578","2,379",59,132,0,0,111,0,0
,Michigan/e,"41,122","18,101","21,999",411,374,107,2,0,0,128,0
,Minnesota,"10,592","4,943","3,577",776,996,282,/,/,/,18,0
,Mississippi,"19,192","6,761","12,171",175,26,42,0,0,0,8,9
,Missouri,"32,461","20,565","11,138",527,106,71,/,/,/,54,0
